period,scenario,Ass,Rule,Rec,INN,OER,q025,q50,q975,Mean,Median_Last_Yr,Risk1_med,Risk2_med,Risk3_med,Risk1_low,Risk2_low,Risk3_low,Risk1_meanR_low,Risk1_Q975_low,Risk1_meanR_med,Risk1_Q975_med,Risk1_rec2019
last,ASSss3_HCR10_REClowmed_INNvar_OERnaq,ASSss3,HCR10,REClowmed,INNvar,OERnaq,4378316.107,12389103.57,33834006.34,14107864.58,12489125.65,0.0288,0.141,0.041,4.00E-04,0.004,0.003,0.8637,0.31,0.5025,0.0246,0.2828
last,ASSss3_HCR10_RECmix_INNvar_OERnaq,ASSss3,HCR10,RECmix,INNvar,OERnaq,3834005.12,11206678.43,32777270.53,13031984.43,11349114.73,0.1699,0.267,0.178,0.0053,0.032,0.007,0.7987,0.2621,0.4315,0.0203,0.2397
last,ASSss3_HCR11_REClow_INNvar_OERnaq,ASSss3,HCR11,REClow,INNvar,OERnaq,2995125.333,7049477.077,16098399.03,7659824.861,7083746.911,0.555,0.945,0.569,3.00E-04,0.003,0.002,0.5064,0.0261,0.0892,0,0.0185
last,ASSss3_HCR11_REClowmed_INNvar_OERnaq,ASSss3,HCR11,REClowmed,INNvar,OERnaq,4424554.045,12411866.81,34178470.02,14193697.76,12382462.86,3.00E-04,0.002,0.001,0,0,0,0.8674,0.3181,0.5042,0.0245,0.2905
last,ASSss3_HCR11_RECmix_INNvar_OERnaq,ASSss3,HCR11,RECmix,INNvar,OERnaq,4407296.547,12342836.3,33434123.13,14120536.68,12208202.44,0.0045,0.01,0.006,0,0,0,0.8625,0.3142,0.4998,0.0227,0.2866
last,ASSss3_HCR13_REClow_INNvar_OERnaq,ASSss3,HCR13,REClow,INNvar,OERnaq,2983674.98,7039966.331,15987634.4,7659035.213,7090451.523,0.8084,0.993,0.834,0.0358,0.177,0.043,0.5048,0.0249,0.0898,1.00E-04,0.0177
last,ASSss3_HCR13_REClowmed_INNvar_OERnaq,ASSss3,HCR13,REClowmed,INNvar,OERnaq,4435584.787,12467830.92,34211802.09,14230474.35,12180643.42,0.0086,0.049,0.014,0,0,0,0.8672,0.3168,0.5082,0.0248,0.292
last,ASSss3_HCR13_RECmix_INNvar_OERnaq,ASSss3,HCR13,RECmix,INNvar,OERnaq,4221167.138,11944562.09,33799031.63,13752042.15,11882026.6,0.0679,0.102,0.073,0.0013,0.009,0.005,0.8395,0.2975,0.476,0.0238,0.2737
last,ASSss3_HCR14_REClow_INNvar_OERnaq,ASSss3,HCR14,REClow,INNvar,OERnaq,2983834.899,7003088.476,15833439.69,7633794.438,7022864.892,0.7777,0.988,0.798,0.0256,0.133,0.038,0.5013,0.0239,0.0869,0,0.0166
last,ASSss3_HCR14_REClowmed_INNvar_OERnaq,ASSss3,HCR14,REClowmed,INNvar,OERnaq,4314137.004,12499734.28,33819085.03,14212741.54,12222441.27,0.0047,0.029,0.007,0,0,0,0.8638,0.3178,0.5117,0.024,0.2903
last,ASSss3_HCR14_RECmix_INNvar_OERnaq,ASSss3,HCR14,RECmix,INNvar,OERnaq,4223296.959,12157522.03,33818899.54,13899021.64,11864335.99,0.0443,0.07,0.049,9.00E-04,0.007,0.002,0.8464,0.3002,0.4902,0.0238,0.2745
last,ASSss3_HCR7_REClow_INNvar_OERnaq,ASSss3,HCR7,REClow,INNvar,OERnaq,3033536.584,7024636.914,16031020.27,7642671.141,7038986.871,0.2888,0.736,0.311,0,0,0,0.5043,0.0251,0.086,0,0.017
last,ASSss3_HCR7_REClowmed_INNvar_OERnaq,ASSss3,HCR7,REClowmed,INNvar,OERnaq,4408284.505,12442503.35,33809043.47,14205465.71,12166804.43,0,0,0,0,0,0,0.8659,0.3158,0.5058,0.024,0.2892
last,ASSss3_HCR7_RECmix_INNvar_OERnaq,ASSss3,HCR7,RECmix,INNvar,OERnaq,4378995.946,12398956.6,33382368.76,14103220.14,12382462.86,0,0,0,0,0,0,0.8643,0.3125,0.5035,0.0225,0.2859
last,ASSss3_HCR8_REClow_INNvar_OERnaq,ASSss3,HCR8,REClow,INNvar,OERnaq,3050862.424,7007266.387,15846391.23,7633681.645,7055744.149,0.8323,0.995,0.853,0.0416,0.207,0.057,0.5016,0.0243,0.0869,0,0.0174
last,ASSss3_HCR8_REClowmed_INNvar_OERnaq,ASSss3,HCR8,REClowmed,INNvar,OERnaq,4327296.552,12386225.85,33579534.25,14124049.55,12171480.58,0.0139,0.079,0.02,0,0,0,0.8641,0.3117,0.5021,0.0233,0.2859
