"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"initial";"ASSss3_HCR9_REClow_INNvar_OERnaq";"ASSss3";"HCR9";"REClow";"INNvar";"OERnaq";239190.420129937;255882.896093167;324812.144221256;417767.723413938;452438.09120675;332651.356289798;301667.878777556;34047.3672964656;0.966364785291809;0.579;0.0024;0.887;0.009;0.734;0.005;2.895;2.7205;NA;0.012;0.012;2021;0;0;0;0.053688638657269;0.104426314488035;0.157016615012324;16376.2900795384;33030.570978977;45000;32847.2121857659;6059.1054852193;5608.7756511975;1.02733737215049
"initial";"ASSss3_HCR9_REClowmed_INNvar_OERnaq";"ASSss3";"HCR9";"REClowmed";"INNvar";"OERnaq";311021.630808362;338253.876582331;464274.244635125;665251.720802275;743712.00392686;485916.484896262;508596.439728608;63281.939372449;1.06939590058412;0.0978;0.001;0.254;0.003;0.177;0.002;0.489;0.4715;2025;0.005;0.005;2021;0;0;0;0.0503495828274913;0.0872588135988895;0.12882926063697;20908.5926553336;45000;45000;39469.858235184;5456.77244287987;4101.04120595899;1.10986087560226
"initial";"ASSss3_HCR9_RECmix_INNvar_OERnaq";"ASSss3";"HCR9";"RECmix";"INNvar";"OERnaq";251020.119342828;270832.113214939;421029.760594502;639203.320862779;718810.228801255;441059.0199917;454448.510532062;53573.5148048895;1.04097876136749;0.2912;8e-04;0.38;0.003;0.328;0.002;1.456;1.421;NA;0.004;0.004;2021;0;0;0;0.0515642979428192;0.088664817494325;0.145400118079752;17973.4791090888;43357.2187819698;45000;36905.1860431522;5333.34386955964;4363.61834810519;1.07897269372202
"short";"ASSnone_HCR10_REClow_INNvar_OERnone";"ASSnone";"HCR10";"REClow";"INNvar";"OERnone";238085.853060142;253635.151772475;315277.164146284;396359.234843931;422950.075795235;321080.94356375;300971.513897012;31504.5858154241;0.990908590435258;0.6489;0.0012;0.99;0.008;0.75;0.003;6.489;5.10158333333333;NA;0.012;0.012;2021;0;0;0;0.051543154826;0.0833639435452352;0.126518283505262;13193.0654317308;25452.0270099416;46920.0271054757;26891.7818349675;8202.80818212057;5974.14050894419;0.998832834060424
"short";"ASSnone_HCR10_REClowmed_INNvar_OERnone";"ASSnone";"HCR10";"REClowmed";"INNvar";"OERnone";330815.727806172;360293.16576715;497519.372154463;704127.379168771;768871.872638053;518009.203730189;534592.473779496;65428.8558021289;1.04440297406259;0.0597;1e-04;0.307;0.001;0.162;0.001;0.597;0.541166666666667;2024;0.001;0.001;2021;0;0;0;0.0612956436635867;0.0910600931571984;0.121909021231347;25168.6184316659;50000;50000;44115.5455517692;7380.24342417287;4398.2671984665;1.06249741571045
"short";"ASSnone_HCR10_RECmix_INNvar_OERnone";"ASSnone";"HCR10";"RECmix";"INNvar";"OERnone";259032.763779347;278683.562468481;450913.868942046;676337.650213355;744971.041341299;466805.490878091;496778.022530574;56449.5207306712;1.03588361292083;0.2415;8e-04;0.434;0.004;0.319;0.002;2.415;2.28066666666667;NA;0.008;0.008;2021;0;0;0;0.0568486723358557;0.0874828161252624;0.121844495520206;16315.8026218109;45613.8188110007;50000;39224.4234875052;7438.8884555702;4399.98441199294;1.04510666453891
"short";"ASSnone_HCR7_REClow_INNvar_OERnone";"ASSnone";"HCR7";"REClow";"INNvar";"OERnone";284244.450256726;300069.013597302;364428.590168899;450459.376298172;479538.285631805;370966.755753609;366475.785534293;28919.9518645145;1.00958391066547;0.3128;0;0.775;0;0.385;0;3.128;2.37783333333333;NA;0;0;2021;0.8184;1;8.184;0;0;0;0;1e-06;1e-06;8.824e-07;6.57753753315024e-08;2.31111111111112e-08;1
"short";"ASSnone_HCR7_REClowmed_INNvar_OERnone";"ASSnone";"HCR7";"REClowmed";"INNvar";"OERnone";367078.073384214;404940.933408817;581786.881811644;802686.551050668;872968.445275106;596460.636196718;657665.833759569;67157.5757723909;1.06558298394335;0.0255;0;0.172;0;0.162;0;0.255;0.254;2022;0;0;2021;0.799;1;7.99;0;0;0;0;1e-06;1e-06;8.77e-07;6.76727419276034e-08;2.37777777777779e-08;1
"short";"ASSnone_HCR7_RECmix_INNvar_OERnone";"ASSnone";"HCR7";"RECmix";"INNvar";"OERnone";300269.73392714;326959.988132918;546070.164052907;785285.824604948;851800.638871968;556481.07543746;639052.363398885;62319.209547915;1.0670268939343;0.1174;0;0.33;0;0.319;0;1.174;1.1245;2028;0;0;2021;0.796;1;7.96;0;0;0;0;1e-06;1e-06;8.797e-07;6.35617809693845e-08;2.23333333333335e-08;1
"short";"ASSnone_HCR8_REClow_INNvar_OERnone";"ASSnone";"HCR8";"REClow";"INNvar";"OERnone";238844.115778615;254217.422306283;316541.015541291;398066.78682314;425056.617708139;322281.979803391;301530.757519426;31308.0310824038;0.991009694377276;0.6417;0.0011;0.988;0.007;0.742;0.003;6.417;5.06158333333333;NA;0.011;0.011;2021;0;0;0;0.0516620590397097;0.0834254401751397;0.115923355929759;13222.4192187422;25587.3891949744;40000;26386.1505854366;7193.25846515509;5105.09524851124;0.996249346212332
"short";"ASSnone_HCR8_REClowmed_INNvar_OERnone";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";334421.176359478;364592.469316335;508572.274911098;718406.543164257;785969.412398311;528646.967892488;556268.83368736;64993.7237243348;1.0478133975548;0.0542;1e-04;0.279;0.001;0.162;0.001;0.542;0.496666666666667;2024;0.001;0.001;2021;0;0;0;0.0518163866894589;0.0764195981203165;0.104490939546398;25529.1883279813;40000;40000;37736.7634352334;3720.36953250064;2025.36102757251;1.03397268708467
"short";"ASSnone_HCR8_RECmix_INNvar_OERnone";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";259355.17321948;279738.441955581;460152.193537258;692665.881316738;761659.417553266;475990.019377962;515148.862573138;56395.8238340568;1.03951541842805;0.233;7e-04;0.411;0.003;0.319;0.002;2.33;2.20366666666667;NA;0.007;0.007;2021;0;0;0;0.0510479515754612;0.0763114548508099;0.10596071250843;16346.5061116431;40000;40000;34339.6602017995;4367.51817312772;2540.64764159631;1.02493416349319
