"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"catch";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"P_B1plus_0.8Blim";"P_B1plus_0.8Blow";"firstyear_B1plus_0.8Blim";"firstyear_B1plus_0.8Blow";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"last";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch45";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch45";375803.914011639;406117.128129852;552753.00674014;757217.065660631;828992.703446387;570050.30099238;550235.618727452;66602.3962876534;1.01152550216238;0;0;2061;2061;0.0185;1e-04;0.109;0.001;0.023;0.001;0.185;0.178;2061;0.001;0.001;2061;0;0;0;0.0567219463258063;0.082128951222068;0.109544328411226;33019.4067202709;45000;45000;43489.7315967366;2354.20252754742;1447.34249864448;1.00571833604655
"last";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch50";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch50";367453.713538894;397714.053837944;541716.640041548;744495.24982856;816123.334071591;559502.50233655;540139.353732237;66797.1369767005;1.01205540884972;0;0;2061;2061;0.0224;1e-04;0.127;0.001;0.028;0.001;0.224;0.2065;2061;0.001;0.001;2061;0;0;0;0.0629253987494458;0.0909391702558043;0.119613801094721;31788.5272806085;50000;50000;47170.4826161757;3911.28284840807;2472.35480632586;1.00967949482486
"last";"ASSnone_HCR8_RECmix_INNvar_OERnone_catch50";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";"catch50";293505.487034786;347088.832785125;526595.411017801;735039.732308291;806891.746970424;538010.192905593;526455.84709949;63356.8854452844;1.01118212295329;0;0;2061;2061;0.0903;3e-04;0.194;0.001;0.101;0.001;0.903;0.843;NA;0.003;0.003;2061;0;0;0;0.0611176273874582;0.0893471677581417;0.1191060672585;21090.2906912946;50000;50000;45070.7944388264;4310.81797316934;2575.68939568193;1.0101212978429
"last";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch40";1230.07240975622;29813.9090631482;241804.690718581;336494.6581036;364912.952128213;226535.851402466;238960.275782426;25235.1575316864;0.972242494180649;0;0;NA;NA;0.9016;0.2786;0.999;0.525;0.911;0.31;9.016;8.1625;NA;2.786;2.54641666666667;NA;0;0;0;0.118409083087089;0.178429694368324;1.23456086911945;856.649143616438;40000;40000;36208.1536442952;715.501954879085;224.078810218333;0.970197559443916
"last";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch45";34.4573488008736;435.6416272305;203788.114392431;314061.416426234;342638.542030104;174940.647516713;190651.175857856;20969.3947639206;0.920275041850215;0;0;NA;NA;0.942;0.4729;1;0.694;0.951;0.516;9.42;8.80708333333333;NA;4.729;4.46058333333333;NA;0;0;0;0.143531268628564;0.243483310931247;1.31025224917618;23.968461173473;45000;45000;34515.1225725559;1851.57794941145;590.167607217287;0.926959723098336
"last";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch50";3.72552861628378;24.838548242754;52488.4167494914;273686.727553307;306237.437138273;110189.476229812;12020.1504676899;14577.2939806974;0.849494856443873;0;0;NA;NA;0.9767;0.6901;1;0.86;0.983;0.748;9.767;9.45508333333333;NA;6.901;6.6705;NA;0;0;0;0.181110338154609;1.01045672989754;1.35314331806447;2.5776636509104;36248.1109141421;50000;26998.016613242;3132.45784111321;995.630758172837;0.859905306641285
"last";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch40";376522.577532709;413296.866840786;561393.065716542;766514.279000105;840889.755672097;578209.592298914;567780.566263549;65908.2107243579;1.01172012525555;0;0;2061;2061;0.019;0.001;0.096;0.001;0.022;0.001;0.19;0.177;2061;0.01;0.01;2061;0;0;0;0.0500902911195731;0.0734484132261297;0.107610772337748;40000;40000;40000;39960.0399672103;0.0355979535545838;0.0140832390431356;0.999725687175604
"last";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch45";353036.386858447;395494.109358004;552936.882739501;759704.868352183;834493.608973604;566390.009338787;555491.039038126;66580.0578536214;1.01168668332026;0;0;2061;2061;0.0361;0.0074;0.137;0.009;0.041;0.009;0.361;0.329166666666667;2061;0.074;0.074;2061;0;0;0;0.0566918491513692;0.0844761774437263;0.13080819016053;45000;45000;45000;44696.4123983373;8.92020881988503;3.1999210390644;0.998056967745104
"last";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch50";337753.504998622;380196.962750722;531831.921434524;738709.779867695;812947.2893044;546194.686940004;534911.264542065;65329.0167068823;1.01115404483826;0;0;2061;2061;0.0498;0.0108;0.168;0.016;0.057;0.013;0.498;0.447;2062;0.108;0.103;2061;0;0;0;0.065040689632092;0.0982772344602242;0.154838100038026;50000;50000;50000;49665.7442895787;17.5257924923674;6.0718638049585;0.998068161400146
"all";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";368293.038866903;403351.531808322;554403.122573941;761458.017632821;833919.764371237;572100.50713396;562931.317308689;66439.9024090806;1.01864212658781;0.985;1;2021;2021;0.02328;4e-05;0.474;0.002;0.162;0.001;1.164;0.86575;2024;0.002;0.002;2021;0;0;0;0.0499482412557731;0.0729151391280005;0.0999368651418596;30993.9862862784;40000;40000;38964.633517776;2938.07101151795;968.155582459292;1.00903376646211
"all";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch45";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch45";361395.321253524;395417.19392789;543435.710353178;749469.605043872;821678.998053757;561575.725900582;550235.618727452;66573.5081102644;1.0186760514171;0.985;1;2021;2021;0.02742;4e-05;0.531;0.002;0.162;0.001;1.371;0.9672;2024;0.002;0.002;2021;0;0;0;0.0565837655110981;0.0822853390648112;0.110223071860066;30070.8653032892;45000;45000;42988.5190908214;4603.99407597752;1751.64597675353;1.01414485442589
"all";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch50";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch50";356155.629145833;389145.275693544;533106.971211656;738253.922425191;810834.646467363;552229.582276737;540139.353732237;66765.7210304494;1.01873997888696;0.985;1;2021;2021;0.03106;4e-05;0.577;0.002;0.162;0.001;1.553;1.0642;2024;0.002;0.002;2021;0;0;0;0.062242714190386;0.0908013820950233;0.119577990127289;29442.4526973309;50000;50000;46548.2655486369;6501.07783507542;2787.69633456274;1.02005691292596
"all";"ASSnone_HCR8_RECmix_INNvar_OERnone_catch50";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";"catch50";272309.380722864;308433.543412387;509792.984431022;722699.051371636;794773.542508925;518922.475950993;526455.84709949;61633.6138977135;1.0181459875782;0.893;1;2021;2021;0.1361;0.00062;0.666;0.019;0.319;0.003;6.805;4.68905;NA;0.031;0.03;2021;0;0;0;0.058539266067816;0.0885704831458477;0.119298622762106;17895.6811496098;50000;50000;43380.7649046596;8935.55836437016;3033.89321062634;1.02166523959569
"all";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch40";102173.295763448;168253.985133648;259913.006117257;355510.041185757;386708.175872817;257657.86679803;238960.275782426;28155.0671323002;0.987509535304385;0.836;1;2021;2021;0.85484;0.1679;1;0.855;0.911;0.31;42.742;19.4140861111111;NA;8.395;4.85441428571429;2021;0;0;0;0.108011775143159;0.165475370965639;0.483884117096003;33285.5285344844;40000;40000;38503.8518401875;3000.55875479764;301.911142384963;0.999167796980917
"all";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch45";3214.18049992455;68826.414708078;240792.822830709;342463.948227209;375637.715588262;230025.847884088;190651.175857856;26520.4742004338;0.965831481583972;0.794;1;2021;2021;0.88854;0.28298;1;0.963;0.951;0.516;44.427;23.8739654761905;NA;14.149;7.83492380952381;2021;0;0;0;0.124275356715065;0.204257096738317;1.21367454078267;2217.13938353868;45000;45000;41011.1346436845;6262.61788590918;561.285325489964;0.985551837478166
"all";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch50";203.380106398633;2620.76680125636;219125.608207491;329986.594033489;366238.502956995;198227.95794436;12020.1504676899;24270.998351679;0.931794769637779;0.796;0.999;2021;2021;0.9126;0.40322;1;0.985;0.983;0.748;45.63;28.1236158730159;NA;20.161;11.4482630952381;2021;0;0;0;0.140631447912941;0.253986666140521;1.28823186961737;141.305154838759;50000;50000;41071.0871957956;11654.7038641435;947.153249234199;0.959932186203199
"all";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch40";359594.232415819;398445.442699237;551603.27090805;758615.212011693;831262.262084484;567841.652277616;567780.566263549;65636.640614436;1.01833454262564;0.979;1;2021;2021;0.03192;0.00146;0.491;0.008;0.186;0.003;1.596;1.12858333333333;2027;0.073;0.069;2021;0;0;0;0.0498968574623257;0.0742378215398857;0.111968886177699;40000;40000;40000;39711.543283479;1518.17069167324;209.673697591717;1.00939508409893
"all";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch45";341599.731024829;382118.975802598;537487.382374058;744994.982051498;816768.785071673;552234.248058778;555491.039038126;65574.1633563214;1.01754453055831;0.975;0.999;2021;2021;0.04652;0.00584;0.574;0.021;0.19;0.01;2.326;1.49116666666667;2030;0.292;0.26575;2021;0;0;0;0.0568841757236952;0.0858928139752753;0.133630209202065;45000;45000;45000;44447.1466200914;2254.79607080794;300.214095023687;1.01095567122347
"all";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch50";327947.161941439;370437.932964516;525386.599765714;731954.622920441;803790.667178325;539976.658248638;534911.264542065;65617.2128708719;1.0173063455483;0.978;1;2021;2021;0.05854;0.0073;0.652;0.039;0.187;0.013;2.927;1.91553333333333;2032;0.365;0.2865;2021;0;0;0;0.0639014151673589;0.0978636576454654;0.156214821875704;50000;50000;50000;49237.0909813878;3017.20475467259;387.934361413551;1.01286776943086
